user_id,age,gender,primary_platform,daily_usage_hours,anxiety_score,depression_score,loneliness_score,sleep_quality_score,sleep_hours,mental_wellbeing_score,addiction_level,age_group,sleep_hours_group,addiction_level_tier,loneliness_group
USR00001,30,Male,YouTube,2.9,2.5,3.8,1.7,8.5,5.3,7.3,Low,26-35,<6 jam,1,Tidak Kesepian
USR00002,19,Male,Instagram,4.8,4.0,3.2,7.0,7.8,5.5,4.1,Severe,18-25,<6 jam,4,Kesepian Sedang
USR00003,40,Male,YouTube,6.2,7.6,0.0,5.6,6.3,5.8,5.6,High,36-45,,3,Kesepian Sedang
USR00004,37,Female,Facebook,7.7,3.3,3.5,5.6,3.9,6.1,4.3,Severe,36-45,6-8 jam,4,Kesepian Sedang
USR00005,18,Non-binary,TikTok,4.6,6.5,0.0,4.0,5.7,5.0,6.6,Moderate,<18,<6 jam,2,Kesepian Ringan
USR00006,34,Male,YouTube,1.2,5.2,5.3,5.0,5.2,5.6,7.7,Low,26-35,<6 jam,1,Kesepian Ringan
USR00007,38,Female,Facebook,5.0,5.3,3.8,7.2,4.8,8.2,5.5,High,36-45,>8 jam,3,Kesepian Sedang
USR00008,22,Female,Twitter/X,3.4,3.4,6.1,3.1,3.8,10.0,6.2,Moderate,18-25,>8 jam,2,Kesepian Ringan
USR00009,43,Female,YouTube,9.2,3.9,2.8,3.8,3.2,5.7,3.4,Severe,36-45,<6 jam,4,Kesepian Ringan
USR00010,40,Male,Instagram,6.9,3.7,2.5,3.9,7.4,5.8,7.7,Low,36-45,<6 jam,1,Kesepian Ringan
USR00011,29,Male,Instagram,2.8,6.8,4.5,8.1,8.1,6.0,7.0,Low,26-35,<6 jam,1,Sangat Kesepian
USR00012,38,Female,TikTok,6.0,5.0,5.5,4.9,2.3,7.3,5.7,High,36-45,6-8 jam,3,Kesepian Ringan
USR00013,23,Female,YouTube,5.5,6.2,6.6,2.6,4.7,6.0,7.1,Moderate,18-25,<6 jam,2,Kesepian Ringan
USR00014,40,Male,Instagram,3.7,5.6,7.8,5.0,5.2,7.4,5.1,High,36-45,6-8 jam,3,Kesepian Ringan
USR00015,29,Male,Instagram,3.8,3.4,6.1,4.4,7.0,6.4,9.2,Low,26-35,6-8 jam,1,Kesepian Ringan
USR00016,25,Male,Snapchat,3.9,4.3,6.5,2.5,5.7,5.8,4.7,Severe,18-25,,4,Tidak Kesepian
